locationName,locationOwnerId,locationOwner,address,cityState,zipcode,splc,country,latitude,longitude,inboundModes,outboundModes,servicingCarriers,logisticsProductGroupName,qtyUnit,qty
WEBB CHEMICAL (MUSKEGON),0017000001KuqRM,WEBB CHEMICAL SERVICES CORP,2708 JARMAN ST,"MUSKEGON, MI",49444,317287,US,43.1889,-86.2162,RAIL,RAIL,"",METHANOL,GAM,0
EXPRESS GRAIN (AVALON),0010g00001mLP7S,EXPRESS GRAIN TERMINAL,2015 RIVER RD EXT,"AVALON, MS",38930,"",US,33.5173,-90.1693,TRUCK,TRUCK,"",METHANOL,GAM,0
RADCHEM PRODUCTS (EUREKA),0017000000yIVuz,RADCHEM PRODUCTS INC,1000 INTEGRAM DR,"EUREKA, MO",63069,"",US,38.484,-90.743,TRUCK,TRUCK,"",METHANOL,GAM,0
MINNESOTA SOYBEAN (BREWSTER),0014u00001wrkH1,MINNESOTA SOYBEAN PROCESSORS,121 ZEH AVE,"BREWSTER, MN",56119,"",US,43.7059,-95.4553,TRUCK,TRUCK,"",METHANOL,GAM,2992680
HAMPEL OIL (CANADIAN),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,15041 FM 3044,"CANADIAN, TX",79014,"",US,35.8962,-100.3758,TRUCK,TRUCK,"",METHANOL,GAM,0
GEORGIA-PACIFIC CHEMICALS (PERRY),0014u00001wIxvE,GEORGIA-PACIFIC CHEMICALS LLC,3979 STONE CONTAINER RD,"PERRY, FL",32348,"",US,30.0703,-83.5224,TRUCK,TRUCK,"",METHANOL,GAM,0
REG SENECA (SENECA),0017000000yIUeP,REG SENECA LLC,614 SHIPYARD RD,"SENECA, IL",61360,"",US,41.306,-88.5911,TRUCK,TRUCK,"",METHANOL,GAM,5985360
EVERCAT FUELS (ISANTI),0014u00001vTjEZ,EVERCAT FUELS LLC,100 ISANTI PKWY NE,"ISANTI, MN",55040,"",US,45.4797,-93.2699,TRUCK,TRUCK,"",METHANOL,GAM,332520
HEXION INC (SHEBOYGAN),0017000000yIW2f,HEXION INC,2522 S 24TH ST,"SHEBOYGAN, WI",53081,332140,US,43.7359,-87.7286,RAIL|TRUCK,RAIL|TRUCK,"",METHANOL,GAM,23941440
HYDRITE CHEMICAL (COTTAGE GROVE),0017000000yIUxT,HYDRITE CHEMICAL CO,150 PROGRESS DR,"COTTAGE GROVE, WI",53527,338471,US,43.0787,-89.2004,RAIL,RAIL,"",METHANOL,GAM,0
HAMPEL OIL (FALLIS),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,10025 WILLIAMS RD,"FALLIS, OK",74881,"",US,35.6643,-97.0772,TRUCK,TRUCK,"",METHANOL,GAM,0
THOMAS PETROLEUM (BEOWAWE),0017000000zw1R1,THOMAS PETROLEUM,UP LEASE TRACK,"BEOWAWE, NV",89821,862516,US,40.4705,-116.5173,RAIL,RAIL,"",METHANOL,GAM,0
ARGUINDEGUI OIL (EDINBURG),0017000000zxHux,ARGUINDEGUI OIL CO II LTD,105 PENNZOIL LOOP,"EDINBURG, TX",78542,"",US,26.3089,-98.1084,TRUCK,TRUCK,"",METHANOL,GAM,0
HAMPEL OIL (PADEN),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,100149 N 3630 RD,"PADEN, OK",74860,"",US,35.5093,-96.575,TRUCK,TRUCK,"",METHANOL,GAM,0
TPC GROUP (HOUSTON),0010g00001bqeFt,TPC GROUP LLC,8600 PARK PLACE BLVD,"HOUSTON, TX",77017,"",US,29.7019,-95.2562,TRUCK,TRUCK,"",METHANOL,GAM,76479600
HIGHLINE WARREN (GREENBRAE),0014u00001wrGSS,HIGHLINE WARREN LLC,1280 SERN WAY,"GREENBRAE, NV",89431,864168,US,39.542,-119.7552,RAIL,RAIL,"",METHANOL,GAM,0
BASF INTERTRADE (FREEPORT),0017000000yIV5p,BASF INTERTRADE CORPORATION,602 COPPER RD,"FREEPORT, TX",77541,686297,US,28.9764,-95.3454,RAIL|TRUCK,RAIL|TRUCK,"",METHANOL,GAM,0
MOON CHEMICAL (OKLAHOMA CITY),0014u000026iBxl,MOON CHEMICAL PRODUCTS,8112 SW 8TH ST,"OKLAHOMA CITY, OK",73128,"",US,35.4489,-97.64,TRUCK,TRUCK,"",METHANOL,GAM,0
DOW SILICONES (FREEPORT),00170000012yAST,DOW SILICONES CORPORATION,2301 N BRAZOSPORT BLVD,"FREEPORT, TX",77541,"",US,28.9862,-95.3801,TRUCK,TRUCK,"",METHANOL,GAM,28929240
BRENNTAG GREAT (CHICAGO),0017000000yIPa3,BRENNTAG GREAT LAKES,4801 S AUSTIN AVE,"CHICAGO, IL",60638,"",US,41.8057,-87.7719,TRUCK,TRUCK,"",METHANOL,GAM,0
BAKELITE CHEMICALS (LUFKIN),0014u00001wIsM6,BAKELITE CHEMICALS LLC,1429 E LUFKIN AVE,"LUFKIN, TX",75901,"",US,31.3241,-94.6853,TRUCK,TRUCK,"",METHANOL,GAM,9975600
ARKEMA (BEAUMONT) (BEAUMONT),0017000001Qi4of,ARKEMA,2810 GULF STATES RD,"BEAUMONT, TX",77701,"",US,30.0601,-94.0585,TRUCK,TRUCK,"",METHANOL,GAM,0
HEXION INC (SPRINGFIELD),0017000000yIW2f,HEXION INC,470 S 2ND ST,"SPRINGFIELD, OR",97477,"",US,44.0421,-123.0243,TRUCK,TRUCK,"",METHANOL,GAM,20283720
CHEMISPHERE CORPORATION (SAINT LOUIS),0010g00001ePhJD,CHEMISPHERE CORPORATION,2101 CLIFTON AVE,"SAINT LOUIS, MO",63139,567500,US,38.6113,-90.2915,RAIL,RAIL,"",METHANOL,GAM,0
FARSTAD OIL (LOGAN),0014u000020TJFc,FARSTAD OIL INC,TRACK 6127,"LOGAN, ND",58701,513670,US,48.2078,-101.2788,RAIL,RAIL,"",METHANOL,GAM,0
HAMPEL OIL (CHICKASHA),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,616 N 16TH ST,"CHICKASHA, OK",73018,"",US,35.0361,-97.9467,TRUCK,TRUCK,"",METHANOL,GAM,0
ACCRON LP (BRYAN),0014u00001zo2Ti,ACCRON LP,3826 ENDEAVOR LOOP,"BRYAN, TX",77808,"",US,30.7617,-96.3208,TRUCK,TRUCK,"",METHANOL,GAM,0
"VALERO REFINING-TEXAS, (CORPUS CHRISTI)",0017000000yIUk4,"VALERO REFINING-TEXAS, L. P.",1147 CANTWELL LN,"CORPUS CHRISTI, TX",78407,"",US,27.8067,-97.4452,TRUCK,TRUCK,"",METHANOL,GAM,13300800
CALIFORNIA CHEMICAL (CHINO),0014u0000234UmY,CALIFORNIA CHEMICAL,5177 CHINO AVE,"CHINO, CA",91710,880297,US,34.0172,-117.6893,RAIL,RAIL,"",METHANOL,GAM,0
CONE SOLVENTS (MEMPHIS),0017000001QytUr,CONE SOLVENTS,2064 CHANNEL AVE,"MEMPHIS, TN",38113,439900,US,35.1062,-90.1205,RAIL|TRUCK,RAIL|TRUCK,"",METHANOL,GAM,0
JACKSON OIL (INDIANAPOLIS),0017000000yIQQ0,JACKSON OIL COMPANY AT MATTOON INC,1970 KENTUCKY AVE,"INDIANAPOLIS, IN",46221,"",US,39.7065,-86.2343,TRUCK,TRUCK,"",METHANOL,GAM,0
DUONIX BEATRICE (BEATRICE),0017000001J5pN9,DUONIX BEATRICE LP,722 KINNEY DR,"BEATRICE, NE",68310,"",US,40.2871,-96.7649,TRUCK,TRUCK,"",METHANOL,GAM,6650400
HIGHLINE WARREN (GRAND PRAIRIE),0014u00001wrGSS,HIGHLINE WARREN LLC,1178 113TH ST,"GRAND PRAIRIE, TX",75050,"",US,32.7637,-97.0427,TRUCK,TRUCK,"",METHANOL,GAM,0
WATER TECH (FORT SMITH),0014u0000232mt7,WATER TECH INC,7215 HWY 271 S,"FORT SMITH, AR",72908,"",US,35.3042,-94.4112,TRUCK,TRUCK,"",METHANOL,GAM,0
INDUSTRIAL CHEMICALS (ARVADA),0017000000yIVya,INDUSTRIAL CHEMICALS CORPORATION,4711 W 58TH AVE,"ARVADA, CO",80002,744831,US,39.7954,-105.0985,RAIL,RAIL,"",METHANOL,GAM,1995120
ACCRON LP (EL CAMPO),0014u00001zo2Ti,ACCRON LP,1102 N BLUE CREEK RD,"EL CAMPO, TX",77437,"",US,29.2029,-96.2729,TRUCK,TRUCK,"",METHANOL,GAM,0
CASCADE COLUMBIA (SEATTLE),0014u0000275Ggo,CASCADE COLUMBIA DISTRIBUTION,6900 FOX AVE S,"SEATTLE, WA",98108,845200,US,47.5461,-122.315,RAIL,RAIL,"",METHANOL,GAM,0
KOCH INDUSTRIES (BREWTON),0017000000yIUl0,KOCH INDUSTRIES INC DBA GEORGIA-PACIFIC BREWTON LLC,32313 US-31,"BREWTON, AL",36426,"",US,31.0772,-87.1111,TRUCK,TRUCK,"",METHANOL,GAM,0
BASF INTERTRADE (GEISMAR),0017000000yIV5p,BASF INTERTRADE CORPORATION,8404 RIVER RD,"GEISMAR, LA",70734,"",US,30.19,-91.0114,TRUCK,TRUCK,"",METHANOL,GAM,23941440
REG RALSTON (RALSTON),00170000012y6WV,REG RALSTON LLC,33539 210TH ST,"RALSTON, IA",51459,"",US,42.0458,-94.6413,TRUCK,TRUCK,"",METHANOL,GAM,1330080
SOLVAY USA (CABRILLO),00170000012xiw7,SOLVAY USA INC,20851 S SANTA FE AVE,"CABRILLO, CA",90810,"",US,33.8135,-118.2176,TRUCK,TRUCK,"",METHANOL,GAM,0
WEBB CHEMICAL (DAVENPORT),0017000001KuqRM,WEBB CHEMICAL SERVICES CORP,7241 GAINES STREET CT,"DAVENPORT, IA",52806,"",US,41.5745,-90.6007,TRUCK,TRUCK,"",METHANOL,GAM,0
INVISTA (ORANGE) (ORANGE),0017000000yIW35,INVISTA,FM 1006 RD,"ORANGE, TX",77630,"",US,30.0579,-93.7559,TRUCK,TRUCK,"",METHANOL,GAM,0
OWENSBORO GRAIN (OWENSBORO),0014u000026hXCn,OWENSBORO GRAIN COMPANY LLC,822 E 2ND ST,"OWENSBORO, KY",42303,"",US,37.7749,-87.1025,TRUCK,TRUCK,"",METHANOL,GAM,4655280
VP RACING (MANHATTAN),0014u00001vV2HQ,VP RACING FUELS - HEARTLAND,5020 MURRAY RD,"MANHATTAN, KS",66503,"",US,39.2091,-96.6403,TRUCK,TRUCK,"",METHANOL,GAM,0
BAYER US (INSTITUTE),0014u00001noyWm,BAYER US LLC,ROUTE 25,"INSTITUTE, WV",25112,"",US,38.3853,-81.7763,TRUCK,TRUCK,"",METHANOL,GAM,0
DOWN TO (MONROE),0017000001OP09a,DOWN TO EARTH ENERGY INC,941 MONROE JERSEY RD SE,"MONROE, GA",30655,"",US,33.7574,-83.7282,TRUCK,TRUCK,"",METHANOL,GAM,0
DFI INC (KANSAS CITY),0014u00001yRPHN,DFI INC,6900 SCARRITT AVE,"KANSAS CITY, MO",64123,566900,US,39.1132,-94.525,RAIL,RAIL,"",METHANOL,GAM,0
REG ALBERT (ALBERT LEA),0017000000yIUgt,"REG ALBERT LEA, LLC",15200 780TH AVE,"ALBERT LEA, MN",56007,"",US,43.5741,-93.301,TRUCK,TRUCK,"",METHANOL,GAM,3325200
BIODIESEL OF (LAS VEGAS),0017000000yIVwp,BIODIESEL OF LAS VEGAS INC,5233 E EL CAMPO GRANDE AVE,"LAS VEGAS, NV",89115,"",US,36.2646,-115.0586,TRUCK,TRUCK,"",METHANOL,GAM,997560
AGRIBIOFUELS LLC (DAYTON),0017000000yIVwv,AGRIBIOFUELS LLC,138 SEABERG INDUSTRIAL ROAD,"DAYTON, TX",77535,"",US,30.0378,-94.902,TRUCK,TRUCK,"",METHANOL,GAM,1995120
BARTON SOLVENTS (WEST BEND),0017000000yIPVO,BARTON SOLVENTS INC,800 RAIL WAY,"WEST BEND, WI",53095,335440,US,43.4074,-88.183,RAIL,RAIL,"",METHANOL,GAM,0
STEPAN COMPANY (ELWOOD),00170000013lUHR,STEPAN COMPANY,22500 STEPAN RD,"ELWOOD, IL",60421,"",US,41.442,-88.1593,TRUCK,TRUCK,"",METHANOL,GAM,3325200
IOWA RENEWABLE (GRACE HILL),0014u00001zosfL,IOWA RENEWABLE ENERGY LLC,1701 E 7TH ST,"GRACE HILL, IA",52353,537370,US,41.3,-91.6931,TRUCK|RAIL,TRUCK|RAIL,"",METHANOL,GAM,5985360
HEXION INC (BAYTOWN),0017000000yIW2f,HEXION INC,8450 W BAY RD,"BAYTOWN, TX",77523,"",US,29.7897,-94.8628,TRUCK,TRUCK,"",METHANOL,GAM,18621120
DOW SILICONES (MIDLAND),00170000012yAST,DOW SILICONES CORPORATION,3901 S SAGINAW RD,"MIDLAND, MI",48640,313860,US,43.6213,-84.2707,RAIL,RAIL,"",METHANOL,GAM,28264200
LEAF RIVER (BELLEVILLE),0017000000yIUkv,LEAF RIVER CELLULOSE LLC,157 BUCK CREEK RD,"BELLEVILLE, MS",39462,"",US,31.21,-89.0302,TRUCK,TRUCK,"",METHANOL,GAM,0
BRENNTAG GREAT (OMAHA),0017000000yIPa3,BRENNTAG GREAT LAKES LLC,3720 D ST,"OMAHA, NE",68107,"",US,41.2225,-95.9698,TRUCK,TRUCK,"",METHANOL,GAM,0
ASCEND PERFORMANCE (PENSACOLA),0017000000yIV2L,ASCEND PERFORMANCE MATERIALS LLC,3000 OLD CHEMSTRAND RD,"PENSACOLA, FL",32533,"",US,30.5958,-87.2561,TRUCK,TRUCK,"",METHANOL,GAM,0
DUPONT SPECIALTY (DAYTON),0014u00001oyZ1p,DUPONT SPECIALTY PRODUCTS USA LLC,1515 NICHOLAS RD,"DAYTON, OH",45417,"",US,39.7341,-84.2206,TRUCK,TRUCK,"",METHANOL,GAM,665040
GEORGIA-PACIFIC CONSUMER (CAMAS),0017000000yIUl4,GEORGIA-PACIFIC CONSUMER PRODUCTS,401 NE ADAMS ST,"CAMAS, WA",98607,"",US,45.583,-122.4057,TRUCK,TRUCK,"",METHANOL,GAM,0
REG HOUSTON (DANVILLE ),0017000000yIT5h,REG HOUSTON LLC,300 ANDERSON ST,"DANVILLE , IL",61832,"",US,40.1279,-87.6181,TRUCK,TRUCK,"",METHANOL,GAM,4655280
NALCO CHAMPION (SUGARLAND),0017000001OOnX2,NALCO CHAMPION,11177 S STADIUM DR,"SUGARLAND, TX",77478,"",US,29.6182,-95.6443,TRUCK,TRUCK,"",METHANOL,GAM,2660160
SOLVAY SPECIALTY (ORANGE),0017000001MQHpd,SOLVAY SPECIALTY POLYMERS USA LLC,4059 FM 1006,"ORANGE, TX",77630,"",US,30.0882,-93.7957,TRUCK,TRUCK,"",METHANOL,GAM,0
CHEMSERVE TERMINAL (WILMINGTON),00170000019rvcQ,CHEMSERVE TERMINAL OF WILMINGTON LLC,3325 RIVER RD,"WILMINGTON, NC",28412,409160,US,34.149,-77.9106,TRUCK,TRUCK,"",METHANOL,GAM,0
ARCLIN USA (WINNFIELD),0017000000yIUlr,ARCLIN USA LLC,344 TANNEHILL RD,"WINNFIELD, LA",71422,"",US,32.04,-92.6562,TRUCK,TRUCK,"",METHANOL,GAM,24273960
AMERICHEM SALES (MASON),0014u000020TT9a,AMERICHEM SALES COMPANY,680 EDEN RD,"MASON, MI",48854,316880,US,42.5792,-84.451,RAIL,RAIL,"",METHANOL,GAM,0
HEXION INC (LOUISVILLE),0017000000yIW2f,HEXION INC,462 S 4TH ST STE 1800,"LOUISVILLE, KY",40202,"",US,38.2515,-85.7578,TRUCK,TRUCK,"",METHANOL,GAM,25604040
BRENNTAG GREAT (MENOMONEE FALLS),0017000000yIPa3,BRENNTAG GREAT LAKES LLC,N59W14765 BOBOLINK AVE,"MENOMONEE FALLS, WI",53051,337131,US,43.1527,-88.1117,RAIL,RAIL,"",METHANOL,GAM,0
HAMPEL OIL (CRESSON),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,11925 COUNTY RD 917,"CRESSON, TX",76035,668610,US,32.5469,-97.6409,TRUCK|RAIL,TRUCK|RAIL,"",METHANOL,GAM,0
HERO BX (CLINTON),0010g00001cXi7C,HERO BX,5640 44TH AVE S,"CLINTON, IA",52732,"",US,41.8539,-90.2081,TRUCK,TRUCK,"",METHANOL,GAM,0
GP OPERATIONS (CROSSETT),0017000000yIW0T,GP OPERATIONS HOLDINGS LLC DBA GEORGIA-PACIFIC LLC,HWY 82 & PAPER MILL RD,"CROSSETT, AR",71635,"",US,33.1359,-91.9675,TRUCK,TRUCK,"",METHANOL,GAM,0
BP PRODUCTS (DEER PARK),0017000000yIV27,BP PRODUCTS NORTH AMERICA INC,2401  5TH AVG S,"DEER PARK, TX",77590,"",US,29.3788,-94.9295,TRUCK,TRUCK,"",METHANOL,GAM,166260000
FUTUREFUEL CHEMICAL (BATESVILLE),0017000000yIUca,FUTUREFUEL CHEMICAL COMPANY,2800 GAP RD,"BATESVILLE, AR",72501,"",US,35.7223,-91.5247,TRUCK,TRUCK,"",METHANOL,GAM,9975600
THE MEADOWS (MONAHANS),0010g00001mMc1T,THE MEADOWS GROUP LLC,904 W 45TH ST,"MONAHANS, TX",79756,"",US,31.5796,-102.8964,TRUCK,TRUCK,"",METHANOL,GAM,0
BRENNTAG PACIFIC (PORTLAND),0017000001SOPmk,BRENNTAG PACIFIC INC,5700 NW FRONT AVG,"PORTLAND, OR",97210,"",US,45.5627,-122.7368,TRUCK,TRUCK,"",METHANOL,GAM,0
CONE SOLVENTS (NASHVILLE),0017000001QytUr,CONE SOLVENTS,1830 LINDER INDUSTRIAL DR,"NASHVILLE, TN",37209,434300,US,36.1494,-86.8637,RAIL|TRUCK,RAIL|TRUCK,"",METHANOL,GAM,0
HIGHLINE WARREN (LIVONIA),0014u00001wrGSS,HIGHLINE WARREN LLC,11800 SEARS ST,"LIVONIA, MI",48150,318333,US,42.3656,-83.3699,RAIL,RAIL,"",METHANOL,GAM,0
HAMPEL OIL (FOSTER),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,N 3030 RD,"FOSTER, OK",73434,"",US,34.6387,-97.5327,TRUCK,TRUCK,"",METHANOL,GAM,0
BRENNTAG GREAT (TOLEDO),0017000000yIPa3,BRENNTAG GREAT LAKES LLC,1411 CAMPBELL ST,"TOLEDO, OH",43607,343138,US,41.65,-83.6049,RAIL,RAIL,"",METHANOL,GAM,0
BAKELITE CHEMICALS (CROSSETT),0014u00001wIsM6,BAKELITE CHEMICALS LLC,150 MILL SUPPLY RD,"CROSSETT, AR",71635,616780,US,33.1359,-91.9675,RAIL|TRUCK,RAIL|TRUCK,"",METHANOL,GAM,24606480
NUTRIEN AG (ALBANY),0017000000yIV0T,NUTRIEN AG SOLUTIONS INC,34133 GOLTRA RD SE,"ALBANY, OR",97322,854550,US,44.6225,-123.0741,TRUCK,TRUCK,"",METHANOL,GAM,0
RHINEHART OIL (KEENESBURG),0017000001UuM0J,RHINEHART OIL COMPANY INC,TRACK 1310,"KEENESBURG, CO",80643,742334,US,40.0712,-104.4852,RAIL,RAIL,"",METHANOL,GAM,0
